epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.23,0.97418,4.28677,1.05844,0.36383,0.0967,0.08592,0.07048,0.86114,2.51056,0.96911,3.94499e-05,3.94499e-05,3.94499e-05
2,1605.97,0.90837,2.28591,0.99818,0.50644,0.1957,0.19599,0.15903,0.83613,1.75394,0.94867,7.52003e-05,7.52003e-05,7.52003e-05
3,2395.86,0.85706,1.81903,0.96799,0.75087,0.22664,0.28688,0.2307,0.83077,1.45961,0.95642,0.000107024,0.000107024,0.000107024
4,3187.69,0.84818,1.57923,0.96227,0.65326,0.32022,0.33715,0.27709,0.77363,1.24685,0.93291,0.000101329,0.000101329,0.000101329
5,3979.9,0.81709,1.4003,0.95417,0.71098,0.3559,0.39068,0.31828,0.76325,1.1508,0.92504,9.5438e-05,9.5438e-05,9.5438e-05
6,4792.88,0.8122,1.28155,0.95699,0.66856,0.3873,0.42371,0.3512,0.74341,1.0461,0.91321,8.95475e-05,8.95475e-05,8.95475e-05
7,5591.03,0.78961,1.18333,0.94446,0.72853,0.40811,0.49165,0.40398,0.73665,0.96131,0.91135,8.3657e-05,8.3657e-05,8.3657e-05
8,6377.67,0.77186,1.1202,0.93478,0.66825,0.43919,0.51231,0.4257,0.72374,0.9277,0.9017,7.77665e-05,7.77665e-05,7.77665e-05
9,7157.94,0.7596,1.05856,0.93635,0.61209,0.51899,0.5234,0.43511,0.74747,0.88764,0.91576,7.1876e-05,7.1876e-05,7.1876e-05
10,7949.7,0.76156,1.00985,0.9327,0.73959,0.47826,0.56724,0.46959,0.73586,0.84459,0.9043,6.59855e-05,6.59855e-05,6.59855e-05
11,8736.57,0.75994,0.89579,0.90638,0.72906,0.49412,0.59108,0.48818,0.73127,0.81706,0.90714,6.0095e-05,6.0095e-05,6.0095e-05
12,9514.72,0.74932,0.8518,0.89573,0.73498,0.51955,0.58649,0.48981,0.7089,0.80358,0.89756,5.42045e-05,5.42045e-05,5.42045e-05
13,10294.6,0.74016,0.80249,0.89147,0.70262,0.52488,0.58704,0.49047,0.72223,0.78826,0.90295,4.8314e-05,4.8314e-05,4.8314e-05
14,11078.7,0.73897,0.7822,0.89419,0.63344,0.55723,0.59644,0.4928,0.7426,0.77743,0.90115,4.24235e-05,4.24235e-05,4.24235e-05
15,11860.4,0.73063,0.75316,0.88325,0.6355,0.55437,0.61333,0.50735,0.71378,0.74093,0.89533,3.6533e-05,3.6533e-05,3.6533e-05
16,12655.3,0.71719,0.73655,0.8862,0.65971,0.56896,0.62434,0.52089,0.71786,0.74329,0.89337,3.06425e-05,3.06425e-05,3.06425e-05
17,13457.3,0.71633,0.7213,0.88506,0.66355,0.58726,0.6343,0.52621,0.7182,0.73015,0.89455,2.4752e-05,2.4752e-05,2.4752e-05
18,14255.5,0.70539,0.7035,0.88002,0.68975,0.57219,0.63738,0.52924,0.70609,0.69969,0.8925,1.88615e-05,1.88615e-05,1.88615e-05
19,15063.5,0.70729,0.68204,0.87731,0.66316,0.60259,0.64983,0.54249,0.70596,0.69479,0.89126,1.2971e-05,1.2971e-05,1.2971e-05
20,15858.1,0.70669,0.67472,0.8803,0.67752,0.61508,0.64603,0.5355,0.70506,0.69306,0.89163,7.0805e-06,7.0805e-06,7.0805e-06
